Student_ID,First_Name,Last_Name,DOB,Department,Admission_Year,GPA,Grade,Fees_Status,Amount_Paid,Scholarship
1633,Jacob,Parker,2005-04-08,Biology,2017,2,A,Paid,0,Yes
2314,Robert,Vasquez,2004-06-06,Physics,1989,2.95,B,Unpaid,0,No
9857,Gregg,Farmer,2001-08-02,Physics,1972,3.74,F,Paid,,No
7410,Susan,Harris,1998-09-23,Biology,1971,2.04,A,Paid,,No
9594,Matthew,Sanders,2000-06-23,Chemistry,1970,2.22,B,Paid,2817,No
5515,Alexandra,Graham,1998-11-10,Computer Science,2013,2.28,D,Unpaid,16850,No
9549,Michael,Reid,1998-07-23,Biology,1988,3.92,F,Paid,1751,Yes
4858,Crystal,Nunez,2001-09-28,Computer Science,1975,2.14,A,Paid,17274,Yes
4525,Christopher,Terry,2003-01-13,Biology,2014,3.96,C,Unpaid,0,No
7871,Kari,Carson,1998-07-12,Computer Science,1991,3.31,F,Paid,0,Yes
5509,Kenneth,Aguilar,1999-08-04,Computer Science,1991,3.02,D,Paid,17506,Yes
8382,,Gomez,1999-06-24,Computer Science,2007,,D,Unpaid,0,No
9071,Shane,Carroll,2005-06-23,Physics,2014,3.94,B,Paid,0,Yes
6855,Steven,Elliott,2003-08-19,Biology,1989,2.86,A,Unpaid,0,No
2349,Jeffery,,2003-08-23,Computer Science,1973,2.3,C,Unpaid,0,Yes
6313,Danny,Short,2006-06-10,Biology,2023,2.78,A,Unpaid,5958,Yes
2889,Tiffany,Sanders,2006-04-01,,2018,2.73,F,Unpaid,16424,Yes
8969,Kevin,Mccall,2000-03-08,Biology,1986,3.93,,Unpaid,4366,Yes
6493,,Taylor,1999-03-08,Physics,2017,2.06,A,Paid,5171,No
4119,Roger,Miller,2004-10-16,Biology,2005,3.44,C,Unpaid,6616,No
4981,Karen,Hancock,2002-06-15,Mathematics,1979,,D,Paid,19726,No
1265,Christopher,Ward,invalid_date,Computer Science,1987,3.32,B,Unpaid,10283,Yes
5440,Tyler,,2005-09-12,Chemistry,2010,3.59,F,Unpaid,17634,No
2919,Susan,Love,1998-07-02,Physics,1973,3.97,F,Paid,11453,Yes
4612,Amy,,2002-11-30,Biology,2023,2.63,B,Unpaid,12365,No
7095,Richard,Ruiz,2006-02-11,Computer Science,1996,2.37,B,Unpaid,0,No
3793,Crystal,Edwards,2003-10-10,Mathematics,1998,3.99,B,Unpaid,5428,No
6448,Andrew,Skinner,2005-09-07,Chemistry,1989,2.96,F,Unpaid,7252,No
7981,Joseph,Best,2002-01-07,Computer Science,2009,3.07,C,Paid,0,Yes
2018,Elizabeth,Johnson,1999-01-21,Mathematics,1985,2.8,D,Paid,10887,Yes
2648,Aaron,Long,2003-01-21,Biology,1987,2.08,A,Paid,8786,Yes
3397,Raymond,Martinez,1999-12-30,Mathematics,1991,4.6,D,,18883,Yes
4584,Pamela,Haney,2006-05-13,Physics,2006,3.58,C,Paid,0,Yes
1741,Jennifer,Reid,,,2003,2.35,F,Unpaid,14681,No
9752,Sean,Russell,2000-06-02,,2000,3.09,,Paid,7529,No
2212,Julie,Thomas,,Computer Science,2018,2.01,D,,0,No
1437,Michael,Hernandez,2002-01-08,Mathematics,1978,4.14,C,Unpaid,12697,No
3038,Monica,Delacruz,2001-09-26,Mathematics,1998,2.39,A,Unpaid,9628,No
4088,Emily,,invalid_date,Mathematics,1995,2.64,B,Unpaid,0,Yes
2961,James,Martin,2005-05-10,Biology,1981,3.76,C,Paid,16845,Yes
7409,Christopher,Orozco,1998-06-29,Biology,2005,2.53,D,Unpaid,0,No
2499,Chad,Lozano,2002-03-13,Physics,1973,3.27,D,Unpaid,2642,Yes
7064,Jose,Thornton,2000-04-10,Biology,1985,3.03,C,Paid,7529,Yes
2901,Amanda,Moran,2001-09-24,Physics,2018,2.99,D,Unpaid,9249,No
1596,David,Cummings,2004-12-30,Mathematics,2002,3.4,F,Unpaid,1134,Yes
1354,Michele,Blair,invalid_date,Computer Science,1996,3.95,B,Unpaid,0,No
4188,Pamela,Stone,2003-09-23,Mathematics,1972,3.65,F,Paid,14256,No
4030,Kathleen,Colon,2000-10-11,Physics,1986,3.64,A,Unpaid,0,No
3029,Carlos,Vazquez,,Physics,1975,2.77,A,Paid,16316,No
8851,Michelle,Terry,2003-06-12,Biology,1990,2.85,A,,16549,Yes
4450,Justin,Hughes,2001-06-10,Computer Science,1976,2.15,B,Unpaid,10610,Yes
2000,Dennis,White,2004-06-22,Chemistry,1982,2.48,B,Unpaid,,Yes
1373,Alexandra,Mcbride,2001-08-12,Mathematics,1978,3.42,F,Paid,0,No
9916,Jason,Hess,2005-07-10,Computer Science,1999,3.71,A,Unpaid,0,
7973,Daniel,Miller,2001-05-11,Computer Science,1971,3.69,D,,0,No
2662,Stephanie,Thompson,2004-03-31,Chemistry,2021,3.18,B,Paid,0,No
5258,Amy,Baker,2002-05-08,Physics,1994,2.03,F,Paid,15316,No
2146,Judith,Mcbride,2003-12-09,Chemistry,2005,2.89,B,Paid,0,No
4618,Rebecca,Murphy,1999-08-19,Mathematics,1998,3.78,A,Paid,15890,No
2179,Joshua,Erickson,2003-07-23,Biology,1978,3.56,D,Paid,0,No
5932,Scott,Casey,,Physics,2005,3.29,F,Paid,0,Yes
6739,Ashley,Holmes,1999-04-09,Physics,1986,2.76,B,Paid,3553,No
8144,Devin,Bryant,2000-08-18,Biology,2004,3.68,D,Paid,0,Yes
3954,David,Kent,1999-05-14,Biology,1989,2.64,D,Paid,14753,Yes
9251,David,Sherman,2004-07-26,Biology,1988,3.1,B,Paid,16125,Yes
8653,Richard,Cole,1999-05-15,Biology,1997,2,A,Paid,0,No
1645,Taylor,,2000-10-22,Computer Science,1999,3.82,A,Unpaid,0,No
2653,Anita,Chen,1998-09-10,Physics,2002,3.61,A,Paid,17514,Yes
4266,,Thompson,2004-05-18,Mathematics,2017,2.25,B,Unpaid,2453,Yes
5262,Crystal,Hunt,1999-09-11,Physics,1973,,C,Paid,8468,No
6874,Julia,Huang,2003-10-08,Biology,1981,,C,Paid,0,No
8704,Jeffery,Stewart,2005-01-20,Chemistry,2018,4,D,Paid,0,Yes
3775,Tracy,Arroyo,invalid_date,Biology,2005,2.23,D,Paid,18822,Yes
4332,Walter,Lee,1999-08-24,Biology,1994,3.06,D,Unpaid,0,No
1951,Trevor,Gibbs,2001-09-17,Biology,1983,2.54,B,Unpaid,0,Yes
3592,Susan,Carr,,Physics,1986,2.28,F,Paid,7981,No
3653,Scott,Burnett,2003-05-13,Physics,1980,3.88,C,Unpaid,7205,Yes
6608,Douglas,Boyd,2004-02-07,,1985,2.61,D,Unpaid,17164,No
9674,Tyler,Mckinney,2001-03-16,Physics,2024,,C,Paid,0,
5107,Paige,Durham,2000-03-15,Computer Science,1990,3.78,C,Paid,17928,No
2920,Jason,Taylor,2002-01-26,,2023,2.35,C,,0,Yes
8246,,Ingram,2002-10-23,Mathematics,1979,2.76,,Unpaid,0,Yes
3864,Peter,Brown,2002-09-29,Computer Science,1982,3.75,B,Unpaid,0,No
1216,Victoria,Miller,1999-07-06,Computer Science,2007,,D,Paid,12420,No
8727,,Holmes,2003-04-01,Physics,1987,3.72,A,Paid,0,
7715,Tiffany,Smith,1999-05-21,Chemistry,2007,3.51,D,Paid,0,No
9332,Gloria,Hampton,2004-05-20,Physics,1971,2.47,B,Paid,0,No
6102,Christopher,Garcia,2006-03-28,Chemistry,1982,,F,Unpaid,7617,Yes
6851,Stacy,Lawson,2002-07-11,Physics,1985,2,D,Paid,0,Yes
7367,Sandy,Hudson,1999-07-19,Biology,2019,,F,Unpaid,0,Yes
5111,Randall,Rogers,2002-10-26,Chemistry,1998,2.68,D,Paid,15946,Yes
3513,Michael,Gray,2006-02-01,Computer Science,2017,2.98,D,Unpaid,7196,No
1203,Darren,Cox,2002-04-18,Physics,1980,3.78,D,Paid,10269,Yes
8503,Adam,Skinner,2002-06-26,Mathematics,1986,2.66,F,Paid,0,Yes
2295,Joseph,Fields,2000-01-04,Mathematics,2021,2.51,C,Unpaid,6542,No
6503,Danielle,Taylor,2002-05-11,Computer Science,2008,2.85,D,Paid,1624,Yes
1748,Kelly,Schaefer,2003-02-23,Mathematics,1978,2.22,A,Unpaid,,Yes
9918,Rachel,White,2001-05-18,Physics,2009,3.18,D,Unpaid,0,Yes
5601,Donald,Martinez,1999-08-02,Chemistry,2016,4.65,F,Unpaid,9295,Yes
3209,Ashley,,2002-01-11,Mathematics,1981,2.63,F,Paid,0,Yes
4934,James,Lawson,2000-08-26,Chemistry,2020,3.86,D,Paid,11980,No
8894,Ryan,Williams,2001-09-12,Computer Science,1986,3.43,A,Paid,2503,No
6770,Jennifer,,1999-02-27,Chemistry,2005,2.53,D,Unpaid,0,No
5716,Patrick,Hale,2003-04-18,Computer Science,2022,2.58,F,Unpaid,4983,Yes
6885,Mark,Robles,2002-10-15,Chemistry,1990,2.02,F,Unpaid,14809,Yes
3168,Deborah,,2001-05-05,Physics,2024,3.52,F,Paid,0,Yes
6083,Grace,Burke,2005-06-18,Physics,2024,3.61,A,Unpaid,6060,Yes
7357,Earl,Bauer,2005-06-24,Chemistry,2018,2.25,A,Paid,0,No
7789,Sarah,Jackson,2005-10-31,Physics,2020,3.23,A,Unpaid,8403,Yes
2322,Dylan,Hull,2000-06-22,Mathematics,1971,2.1,F,Unpaid,8669,Yes
1024,Leslie,Mcintosh,2002-05-07,Physics,2019,2.39,,Paid,0,No
4150,Jason,Russell,2000-08-07,,2001,3.61,D,Paid,8559,No
6478,Jacob,Alexander,2001-06-22,Computer Science,2023,3.68,D,Paid,8361,Yes
3622,Michael,Munoz,2002-07-30,Computer Science,1983,2.16,D,Unpaid,0,No
4922,Tonya,Oliver,2005-01-30,Computer Science,1974,2.8,A,Unpaid,9746,Yes
4655,Ronald,Scott,2006-06-11,Chemistry,1998,2.47,F,Paid,0,No
8342,Travis,Collins,2001-12-23,Chemistry,1981,3.81,F,Paid,3005,Yes
7203,Jessica,Sweeney,1998-09-10,Computer Science,1995,3.48,B,Paid,16380,Yes
1516,Laura,Chavez,2002-04-16,Biology,2004,2.96,D,Paid,12811,No
7590,Scott,White,2004-08-22,Physics,1996,,A,Paid,2373,Yes
7852,James,Chavez,,Mathematics,1984,2.65,C,Paid,0,Yes
1766,Jennifer,Baker,1998-07-16,Physics,1996,2.98,A,Paid,0,Yes
3714,Rebecca,Avery,2003-03-10,Biology,2006,2.09,B,Paid,0,No
8296,Arthur,Brown,2001-12-06,Biology,2005,,D,Paid,0,
2046,Cynthia,Davis,2004-12-27,Biology,2003,2.56,,Unpaid,0,No
5247,Monica,Johnson,2005-01-30,,1977,3.95,C,Unpaid,12082,Yes
3583,Michael,Smith,2002-04-13,Chemistry,1978,3.27,C,Unpaid,12058,No
8313,Julia,Powell,2000-05-23,Physics,1975,,D,Paid,13112,No
9643,Erica,Vaughn,2002-02-21,Mathematics,2006,2.43,F,Unpaid,0,Yes
8983,Jesse,Prince,2000-07-15,Computer Science,1970,3.2,F,Unpaid,0,Yes
1001,Kenneth,Morris,2000-08-22,Physics,1975,3.84,C,Unpaid,10104,No
1637,Christopher,Gibbs,2002-07-19,Mathematics,1970,3.07,C,,0,Yes
9103,Misty,Reese,2002-07-13,Biology,2020,2.5,D,Unpaid,14563,Yes
6340,Karen,Neal,,Physics,1986,2.86,,Unpaid,0,Yes
6112,,Alvarez,2000-06-06,Mathematics,2020,3.89,F,Unpaid,2924,No
8649,Nicole,Hodge,2002-03-28,Physics,1996,3.8,A,Paid,18126,
1816,Robert,Nichols,2000-11-24,Biology,2000,3.12,A,Unpaid,0,No
7801,Brian,Morales,2001-07-20,,2015,2.82,F,Unpaid,0,Yes
4080,Heather,Bowers,2004-01-17,Physics,1988,3.89,F,Unpaid,3050,No
9987,Elizabeth,Schaefer,2002-08-16,Mathematics,1998,2.14,A,Paid,14145,Yes
2367,Deborah,Johnson,2003-08-03,Biology,1993,3.48,C,Paid,0,Yes
3138,Amy,Black,2006-06-01,Chemistry,2015,2.14,A,Unpaid,0,Yes
1241,Jessica,Copeland,2006-05-24,Mathematics,1996,4,,Paid,14766,
7583,,Miller,1999-10-03,,1987,3.8,,Unpaid,15351,No
7840,Shawn,Howard,2005-07-24,Mathematics,2019,3.58,F,Paid,0,Yes
1055,Jonathan,Garcia,2002-12-06,Chemistry,1975,2.55,A,Paid,0,No
4498,Thomas,Donaldson,2004-04-23,Mathematics,2021,3.5,C,Paid,0,Yes
1234,,Moore,1999-03-27,Mathematics,1980,2.02,C,Paid,5452,No
1038,Bobby,Black,2000-01-31,Physics,2009,2.34,D,Paid,15734,Yes
9656,Brian,Ballard,2001-01-14,Chemistry,1986,3.35,A,Unpaid,0,No
2602,Michael,Moyer,2006-06-04,Physics,2020,4.38,A,Unpaid,5163,Yes
4120,Keith,Smith,2002-11-22,Chemistry,1984,3.23,D,Unpaid,7110,No
2948,Adrian,Morgan,2003-11-09,Biology,1973,2.11,F,Paid,8403,No
4252,Bryce,Blackburn,2004-03-19,Mathematics,2021,3.87,B,Paid,0,Yes
5954,Ronald,Dominguez,1999-07-14,Mathematics,1973,3.91,B,Paid,15292,Yes
5587,Jeffrey,Martin,1998-12-28,Physics,2004,3.33,C,Paid,2655,No
3985,,Maxwell,1999-10-22,Physics,1974,3.79,F,Unpaid,4217,Yes
2641,Angela,Moore,2001-05-28,Biology,2017,2.18,C,Paid,3360,Yes
8792,Jeffrey,Frazier,1998-10-19,Biology,2000,3.7,B,Unpaid,7869,Yes
7499,James,Hahn,2001-05-02,Biology,1986,3.96,C,Paid,0,Yes
2332,Charlene,,2005-11-21,Physics,2000,2.08,F,Unpaid,15977,No
1357,,Murphy,2003-10-11,Mathematics,2018,2.29,B,Paid,0,
5500,Christopher,Johnson,invalid_date,Mathematics,2022,2.59,D,Unpaid,5887,Yes
8421,Luis,Benjamin,1999-11-08,Chemistry,2021,2.63,F,Unpaid,0,No
2896,Amanda,Garrett,2005-01-01,Physics,2015,4.81,D,Unpaid,8493,Yes
5202,Patricia,Sanders,2006-02-22,Mathematics,1979,3.5,A,Paid,0,No
3185,Jonathan,Perez,2002-06-22,Physics,2010,2.09,F,Paid,0,No
9533,Alejandra,Reid,2001-10-22,Mathematics,2012,3.55,B,Unpaid,0,No
6686,James,Murphy,2004-04-02,Biology,2004,2.68,D,Unpaid,7752,
2885,Christopher,Burch,2000-01-31,Physics,1989,3.87,B,Unpaid,0,No
3530,Molly,Bell,,Physics,1970,2.06,A,,0,Yes
5561,Michael,Martin,2002-09-16,Chemistry,2010,2.96,C,Paid,0,Yes
1304,Mary,Fisher,2000-02-14,Biology,1980,3.38,D,Paid,0,No
1693,John,Cox,1999-11-30,Chemistry,1993,2.17,F,Paid,11836,Yes
1666,Jessica,Cunningham,2001-10-24,Mathematics,2015,2.62,B,Paid,15338,Yes
4370,Kevin,Hughes,1998-11-21,Chemistry,1994,2.91,B,Paid,19864,No
5254,Zachary,Townsend,2005-03-08,Physics,1994,3.22,C,Unpaid,0,
6156,Paul,Martin,2005-04-23,Computer Science,1990,2.54,A,Paid,7197,Yes
7011,Timothy,Silva,2005-01-21,Computer Science,2004,4.24,C,Paid,12455,No
1688,Monica,Mcdaniel,2001-05-16,Mathematics,2013,,B,Paid,11038,
9101,,Higgins,2006-01-14,Mathematics,2016,2.96,A,Paid,0,No
8514,Kevin,Jackson,2004-12-13,Physics,1987,3.44,D,Paid,9039,No
8134,Andrea,Hernandez,invalid_date,Mathematics,1979,2.14,F,,12516,Yes
7102,Albert,Johnson,,Mathematics,1971,2.51,F,Unpaid,15272,No
9813,Tyler,Morris,2002-12-02,Physics,2002,2.46,,Unpaid,17911,No
3921,Samuel,Smith,2000-01-31,Computer Science,2019,3.23,B,Paid,7127,No
4405,,Williams,2004-08-24,Biology,1983,3.64,F,Unpaid,6665,No
7153,Robert,Frost,2001-04-12,Chemistry,2011,3.43,A,Unpaid,10440,No
5768,Tristan,Berry,2000-01-18,Computer Science,1997,2.57,B,Paid,0,Yes
1145,Scott,Hernandez,2002-11-27,Computer Science,1993,3.88,,Paid,15149,Yes
3268,Christopher,Hernandez,2006-05-04,Computer Science,2002,2.71,B,Paid,14838,Yes
3474,John,Buchanan,,Computer Science,1990,4.95,C,Paid,,Yes
5446,Margaret,French,2004-07-19,Chemistry,1999,2.75,C,Paid,7705,Yes
6462,Eric,Barnes,2005-09-23,,1979,,A,Paid,0,Yes
6529,Nicole,Bradley,2003-07-19,Biology,2002,2.97,A,Unpaid,18280,
7016,Jason,Parks,2003-06-12,Mathematics,1990,3.48,F,Unpaid,7773,Yes
2535,Cheyenne,Dawson,2002-03-07,Mathematics,2017,3.31,A,Unpaid,0,Yes
6541,Lisa,Nielsen,1999-10-13,Mathematics,1992,2.32,B,Paid,7788,No
1584,Angelica,Cox,2003-11-17,Biology,1993,2.02,F,,0,Yes
1675,Olivia,Robinson,2004-05-06,Biology,2013,2.69,F,Unpaid,17111,Yes
5417,Preston,,2003-09-29,Physics,2011,2.54,B,Paid,0,No
3684,Susan,Anderson,2002-09-08,Mathematics,1995,4.64,A,Paid,0,No
3448,John,Knight,2006-02-18,Chemistry,1996,3.82,F,Paid,11192,Yes
5743,Jeffrey,Bell,2004-02-17,Physics,2009,2.28,A,Paid,,No
6913,Mary,Davis,2003-05-06,Biology,1997,3.51,F,Paid,0,Yes
7468,Joshua,Huang,2006-05-22,Mathematics,2017,2.78,F,Unpaid,5869,No
9986,Michael,Sanchez,2000-04-20,Computer Science,2004,2.15,C,Paid,,Yes
3124,Virginia,James,2003-07-30,Physics,1990,3.31,D,Unpaid,4944,No
5807,Daniel,Hendricks,2002-03-30,Computer Science,2015,2.54,C,,0,No
2882,Rachel,Allen,1998-10-08,Computer Science,2021,3.44,B,Unpaid,13632,No
8832,Chelsea,Olson,2000-07-21,Computer Science,2008,3.98,B,Paid,16878,No
4927,Kristina,Knapp,2002-08-21,Computer Science,1986,2.51,D,Paid,10240,No
1790,Jennifer,Jones,2006-03-09,Physics,1982,,D,Paid,6545,No
6044,Kimberly,King,,Chemistry,1999,3.87,B,Paid,0,
3942,Willie,Hill,2005-08-30,Mathematics,1984,3.17,D,Unpaid,0,No
9569,,Rose,2001-03-11,Chemistry,1988,3.1,A,Unpaid,,No
2161,Cynthia,Daniels,2003-03-20,Physics,2005,3.11,F,Paid,0,Yes
5958,Joseph,Munoz,2004-09-15,Chemistry,1981,3.36,,Paid,16140,Yes
7605,Allen,Chan,2000-02-28,Biology,2004,3.43,F,Paid,0,Yes
6382,Christina,Mcdowell,1998-06-29,Mathematics,1979,2.44,D,Paid,18645,No
5902,Jennifer,Hill,1998-11-10,,2010,2.78,A,Paid,15535,Yes
7794,Gerald,Carr,1999-01-07,Mathematics,2005,2.91,F,Unpaid,3939,Yes
2780,Robert,Dillon,1999-08-18,Chemistry,2021,3.19,B,Unpaid,13611,No
2628,Jeffery,Myers,2000-07-21,Mathematics,2006,2.73,C,Paid,18732,No
8883,Nichole,Garrett,2002-04-05,Mathematics,2022,3.61,A,Unpaid,0,No
8766,Wendy,Ferguson,2005-12-03,Computer Science,2004,2.85,D,Paid,1499,Yes
6522,Adam,Phelps,2004-03-22,Physics,2014,4.94,C,Paid,1573,Yes
6630,Amanda,Thomas,2003-09-05,Mathematics,2002,2.2,F,Paid,12981,Yes
3036,Ronnie,Long,2000-05-23,Computer Science,1993,,B,Paid,2818,No
8849,Brandon,Saunders,2004-02-10,Biology,1987,,A,,8517,No
2900,Paul,Simon,2004-04-23,Mathematics,1999,2.74,F,Paid,0,Yes
9154,Joseph,Bray,1999-06-01,Physics,1990,2.18,F,Unpaid,15336,No
7988,Teresa,Hamilton,2005-10-26,Computer Science,2001,2,C,Unpaid,14163,Yes
1619,Annette,Garcia,2004-12-05,Computer Science,2014,2.76,A,Paid,0,No
5946,Jerome,Murray,2002-11-16,Chemistry,2005,3.51,C,Unpaid,10801,
6489,Jennifer,Murray,2002-02-09,Physics,1973,3.12,C,Unpaid,0,No
3550,Amy,Jackson,2006-05-09,Mathematics,2023,2.75,C,Unpaid,,
3728,Julian,Wells,2003-12-25,Mathematics,2019,2.37,B,Paid,0,Yes
2424,Jodi,Moore,2003-11-18,Computer Science,1983,,A,Unpaid,0,Yes
2078,Rachel,Sellers,2000-12-03,Computer Science,1987,4.24,D,Paid,10263,No
2387,Calvin,Hancock,2006-01-07,Chemistry,2001,2.81,D,Paid,2177,Yes
4244,,Gill,2004-04-19,Mathematics,2017,2.37,A,,19074,Yes
4621,Mark,,2001-05-13,Computer Science,1974,3.51,A,Unpaid,4450,Yes
2001,Nathaniel,Richardson,2002-09-08,Biology,1971,3.1,C,,0,Yes
7304,Timothy,Thomas,2004-04-26,Physics,1983,3.79,B,Paid,0,No
1128,Brandi,Howard,,Computer Science,2010,2.65,D,Paid,0,No
